Protein_ID,Localizations,Signals,Membrane types,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Peripheral,Transmembrane,Lipid anchor,Soluble
Sequence_10,Cytoplasm,,Soluble,0.5733000040054321,0.4871000051498413,0.011099999770522118,0.23019999265670776,0.09210000187158585,0.0038999998942017555,0.11079999804496765,0.34790000319480896,0.065700002014637,0.4765999913215637,0.5461999773979187,0.13529999554157257,0.04450000077486038,0.6676999926567078
Sequence_11,Cytoplasm,Nuclear localization signal,Soluble,0.7087000012397766,0.47200000286102295,0.21889999508857727,0.2240000069141388,0.08560000360012054,0.0007999999797903001,0.08219999819993973,0.0430000014603138,0.09929999709129333,0.0024999999441206455,0.4821000099182129,0.00430000014603138,0.5648000240325928,0.9505000114440918
Sequence_12,Cytoplasm,Nuclear localization signal,Soluble,0.705299973487854,0.4056999981403351,0.10010000318288803,0.19339999556541443,0.0997999981045723,0.022099999710917473,0.19179999828338623,0.15539999306201935,0.2736999988555908,0.0015999999595806003,0.6151000261306763,0.03200000151991844,0.05959999933838844,0.8342000246047974
Sequence_13,Nucleus,Nuclear localization signal,Soluble,0.3747999966144562,0.800000011920929,0.033399999141693115,0.16760000586509705,0.041200000792741776,0.01080000028014183,0.030300000682473183,0.0502999983727932,0.05730000138282776,0.0038999998942017555,0.4196000099182129,0.020500000566244125,0.03970000147819519,0.8604000210762024
Sequence_14,Endoplasmic reticulum,Signal peptide|Transmembrane domain,Transmembrane,0.1835000067949295,0.2590000033378601,0.03590000048279762,0.2922999858856201,0.18610000610351562,0.015200000256299973,0.7524999976158142,0.3199999928474426,0.43790000677108765,0.003599999938160181,0.5971999764442444,0.930899977684021,0.060600001364946365,0.10270000249147415
Sequence_15,Cytoplasm|Nucleus,Nuclear localization signal,Soluble,0.5123999714851379,0.6639999747276306,0.010300000198185444,0.05469999834895134,0.05999999865889549,0.0010000000474974513,0.13689999282360077,0.039799999445676804,0.04470000043511391,0.024700000882148743,0.550599992275238,0.02810000069439411,0.07400000095367432,0.8363000154495239
Sequence_16,Cytoplasm,Nuclear localization signal,Soluble,0.6061000227928162,0.4578000009059906,0.0982000008225441,0.13979999721050262,0.08709999918937683,0.00559999980032444,0.13429999351501465,0.09769999980926514,0.2296999990940094,0.013700000010430813,0.5583000183105469,0.13359999656677246,0.07580000162124634,0.6381000280380249
Sequence_17,Lysosome/Vacuole,Transmembrane domain,Transmembrane,0.30239999294281006,0.28679999709129333,0.05820000171661377,0.36059999465942383,0.18719999492168427,0.005900000222027302,0.45750001072883606,0.4903999865055084,0.19280000030994415,0.006800000090152025,0.10620000213384628,0.968500018119812,0.08730000257492065,0.21130000054836273
Sequence_18,Cytoplasm|Nucleus,Nuclear localization signal,Peripheral|Soluble,0.5297999978065491,0.6470999717712402,0.06390000134706497,0.07410000264644623,0.055399999022483826,0.006300000008195639,0.06920000165700912,0.05920000001788139,0.0689999982714653,0.012600000016391277,0.679099977016449,0.020099999383091927,0.05079999938607216,0.7820000052452087
Sequence_19,Cytoplasm|Nucleus,Nuclear localization signal,Soluble,0.6966999769210815,0.546999990940094,0.00559999980032444,0.1387999951839447,0.05220000073313713,0.00570000009611249,0.05950000137090683,0.07339999824762344,0.07850000262260437,0.009700000286102295,0.5580000281333923,0.014499999582767487,0.025599999353289604,0.8460000157356262
